Context,Questions,Correct Answers
"Aliskiren, the first direct renin inhibitor: assessing a role in pediatric hypertension and kidney diseases",1. The mechanism of action of aliskiren to improve BP control includes: <br> a. Direct action on peripheral vasculature <br> b. Centrally-mediated vasodilatation <br> c. Decreased formation of angiotensin I and angiotensin II <br> d. Effects on calcium channels,C
"Aliskiren, the first direct renin inhibitor: assessing a role in pediatric hypertension and kidney diseases",2. Side-effects that may be anticipated in the use of aliskiren include: <br> a. Cough <br> b. Angioedema <br> c. Elevated transaminases <br> d. Hyperkalemia,D
"Aliskiren, the first direct renin inhibitor: assessing a role in pediatric hypertension and kidney diseases","3. The true statement about pediatric HTN is: <br> a. Aliskiren has the safest antihypertensive medication side-effect profile published to date. <br> b. Pediatric HTN is generally defined statistically as a sustained level of BP that is consistently >95th percentile for age, gender and stature. <br> c. All pediatric patients diagnosed with HTN must be managed with antihypertensive medications as soon as the diagnosis is confirmed. <br> d. Children will likely outgrow HTN by the time they finish puberty.",B
"Aliskiren, the first direct renin inhibitor: assessing a role in pediatric hypertension and kidney diseases","4. Before the development of aliskiren, reasons that limited availability of compounds that act as a direct renin inhibitors included all but: <br> a. Serious side effect profiles. <br> b. Poor bioavailability. <br> c. High production costs. <br> d. Low renin specificity.",A
"Aliskiren, the first direct renin inhibitor: assessing a role in pediatric hypertension and kidney diseases",5. A true statement about renin is: <br> a. It is secreted by the liver when there is inflammation. <br> b. It cleaves the substrate angiotensinogen to form angiotensin I. <br> c. It is produced by the kidney only in CKD stage 4 or higher. <br> d. It is produced by osteoblasts.,B
"Aliskiren, the first direct renin inhibitor: assessing a role in pediatric hypertension and kidney diseases",6. The antihypertensive classes that may influence the RAAS include all but: <br> a. Angiotensin-converting enzyme inhibitors <br> b. Angiotensin receptor blockers <br> c. Beta blockers <br> d. Centrally acting agents <br> e. Aldosterone inhibitors,D
Assessment of nutritional status in children with chronic kidney disease and on dialysis,1. Which of the following factors is not a risk factor for PEW in children with CKD? <br> a. Young age at onset of end-stage renal disease <br> b. Polyuria <br> c. Proteinuric kidney disease <br> d. Poor compliance,B
Assessment of nutritional status in children with chronic kidney disease and on dialysis,2. Which of the following hormones does not cause anorexia in CKD? <br> a. Desacyl ghrelin <br> b. Obestatin <br> c. Neuropeptide Y <br> d. Acyl ghrelin,D
Assessment of nutritional status in children with chronic kidney disease and on dialysis,3. Which of the following parameters is recommended by the NKF KDOQI guidelines for the assessment of nutritional status in children with CKD? <br> a. Serum albumin <br> b. Mid-arm muscle circumference <br> c. BMI-for-height/age percentile or SDS <br> d. BMI-for-age percentile or SDS,C
Assessment of nutritional status in children with chronic kidney disease and on dialysis,4. Which of the following biochemical parameters has not been proposed as a nutritional parameter? <br> a. Total lymphocyte count <br> b. Serum Immunoglobulins <br> c. Serum pre-albumin <br> d. Serum creatinine,B
